Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
101,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,de Bundesliga,25-289,1996,26.8,1.04,1.04,0.90,0.00,0.00,0.00,0.04,0.11,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Matches
102,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,es La Liga,21-302,2000,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
103,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,32-038,1990,30.5,3.21,3.21,2.03,0.00,0.43,0.33,0.26,0.16,0.52,0.52,0.26,0.00,0.03,0.13,0.07,0.03,Matches
104,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,de Bundesliga,28-087,1994,12.6,1.83,1.83,0.95,0.16,0.00,0.24,0.40,0.08,0.16,0.16,0.08,0.00,0.00,0.00,0.08,0.00,Matches
105,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,23-309,1998,26.1,3.68,3.67,2.68,0.11,0.31,0.31,0.15,0.11,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,Matches
106,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-294,2002,10.9,2.84,2.83,1.65,0.55,0.18,0.00,0.46,0.00,0.55,0.55,0.37,0.09,0.00,0.00,0.09,0.00,Matches
107,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,29-330,1992,22.0,0.68,0.68,0.59,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
108,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,26-217,1995,25.6,2.15,2.15,0.94,0.78,0.16,0.08,0.12,0.08,0.43,0.43,0.16,0.16,0.08,0.00,0.00,0.04,Matches
109,Mattia Aramu\0847b5a5,it ITA,MFFW,Venezia,it Serie A,26-356,1995,21.2,2.92,2.92,1.27,0.80,0.19,0.09,0.52,0.05,0.38,0.38,0.28,0.05,0.00,0.00,0.05,0.00,Matches
110,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,33-018,1989,16.2,1.98,1.98,1.79,0.06,0.06,0.00,0.00,0.06,0.37,0.37,0.31,0.00,0.06,0.00,0.00,0.00,Matches
111,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,30-249,1991,25.1,0.24,0.24,0.16,0.00,0.04,0.04,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches
112,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,23-059,1999,22.5,0.58,0.58,0.44,0.00,0.00,0.09,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
