"","Player","Position","Squad","Competition","90s","PCmp","xA","ProgP","PrgDist","KP","FinalThird","UPress","SCA90","TklW","Pressures","Press%","Int","Clr","Blocks","DribTkl","Touches","TouchesMid","Carries","Drib%","AWon","GpSh"
"22","Haris Belkebla\2b1bed19","MF","Brest","fr Ligue 1",23.4,83.2,0.01,2.69,144.9,0.38,2.22,6.92,1.16,1.2,20.9,6.15,1.92,1.11,1.41,0.73,47.6,28.7,31,64.5,1.24,0
"23","Jean-Ricner Bellegarde\10f0fdd3","MF","Strasbourg","fr Ligue 1",24.2,83.1,0.09,3.14,124.7,0.91,2.56,6.03,1.53,1.94,17.9,6.12,1.57,0.99,1.82,0.62,55.5,31.6,39.7,66,0.79,0.07
"24","Jude Bellingham\57d88cf9","MF","Dortmund","de Bundesliga",29,84.6,0.15,4.34,162.8,1.1,3.48,10.8,3.24,1.34,20.9,7,1.31,1,2.14,0.66,65.3,38.3,46.7,48.9,1.28,0.07
"25","Fran Beltrán\ed5c5fa3","MF","Celta Vigo","es La Liga",26.4,90.6,0.02,3.07,223.9,0.45,4.32,7.73,1.25,1.59,19.7,7.39,1.93,1.1,1.59,1.21,75.7,47.1,51.5,68.4,0.8,0.06
"26","Ismaël Bennacer\db092d3b","MF","Milan","it Serie A",15.9,86.9,0.13,7.17,320.8,1.26,5.91,9.5,3.15,2.33,23.8,7.67,2.52,1.07,1.13,1.13,79.1,50.1,59.3,87.5,1.01,0.13
"27","Álex Berenguer\dc1c2fce","MF","Athletic Club","es La Liga",21.1,64,0.24,2.61,131.8,1.8,1.33,7.2,3.04,1.23,24.3,5.73,0.95,0.71,2.51,0.52,52.7,22,33.4,42.6,1.9,0.05
"28","Jason Berthomier\03e91055","MF","Clermont Foot","fr Ligue 1",19.2,81.7,0.2,5.26,282.1,2.4,5.1,10.4,4,1.15,17.8,6.61,0.52,0.26,0.99,0.63,80.7,45.3,54.6,58.6,0.57,0.04
"29","Yves Bissouma\6c203af0","MF","Brighton","eng Premier League",21,89.7,0.03,2.14,151.2,0.29,2.9,6.95,1.05,2.24,17.3,6.24,2.38,1.95,1.62,0.81,63.9,38,44.6,76.3,0.9,0.05
"30","Jean-Paul Boëtius\635f2732","MF","Mainz 05","de Bundesliga",19,74.4,0.13,5.42,225.6,1.42,3.95,7.63,2.63,1.47,22.6,7.89,1.26,0.53,2.11,1.16,57.8,33.5,36.9,54.8,0.42,0.09
"31","Giacomo Bonaventura\d995ed27","MF","Fiorentina","it Serie A",22.4,82.7,0.1,3.75,150,1.25,2.99,8.26,3,0.67,14.4,3.97,1.12,0.4,0.8,0.63,58.3,32.7,44.3,59,0.67,0.08
